"Date","High price","Low price","Closing price"
"2021-03-19","2078.10","2057.51","2070.42"
"2021-03-22","2084.07","2050.57","2080.40"
"2021-03-23","2076.01","2057.80","2064.77"
"2021-03-24","2069.34","2047.11","2060.32"
"2021-03-25","2062.18","2042.62","2056.74"
"2021-03-26","2081.76","2062.27","2081.76"
"2021-03-29","2088.25","2075.43","2078.19"
"2021-03-30","2087.43","2079.29","2086.68"
"2021-03-31","2099.07","2080.20","2086.73"
"2021-04-01","2095.48","2083.45","2091.93"
"2021-04-06","2108.19","2090.85","2103.98"
"2021-04-07","2111.82","2094.05","2097.34"
"2021-04-08","2126.36","2103.28","2123.92"
"2021-04-09","2141.53","2119.24","2140.63"
"2021-04-12","2140.10","2116.03","2118.66"
"2021-04-13","2135.68","2119.52","2135.65"
"2021-04-14","2139.32","2124.57","2124.89"
"2021-04-15","2148.03","2127.44","2144.87"
"2021-04-16","2174.27","2144.46","2174.27"
"2021-04-19","2182.34","2160.35","2160.75"
"2021-04-20","2163.88","2117.61","2121.35"
"2021-04-21","2146.96","2127.54","2146.41"
"2021-04-22","2164.00","2151.65","2163.62"
"2021-04-23","2168.43","2151.90","2164.04"
"2021-04-26","2176.84","2163.99","2168.42"
"2021-04-27","2193.16","2169.98","2183.27"
"2021-04-28","2187.71","2156.60","2166.14"
"2021-04-29","2186.75","2155.46","2157.30"
"2021-04-30","2163.08","2143.41","2143.41"
"2021-05-03","2166.02","2142.99","2161.14"
"2021-05-04","2170.57","2121.51","2123.56"
"2021-05-05","2171.45","2143.17","2171.20"
"2021-05-06","2176.54","2150.56","2161.34"
"2021-05-07","2195.50","2173.14","2193.45"
"2021-05-10","2197.41","2182.88","2191.02"
"2021-05-11","2172.99","2127.23","2138.45"
"2021-05-12","2164.37","2140.04","2146.63"
"2021-05-13","2147.16","2143.06","2146.47"
"2021-05-14","2172.88","2149.49","2172.62"
"2021-05-17","2187.40","2163.92","2180.59"
"2021-05-18","2199.80","2188.02","2194.35"
"2021-05-19","2177.75","2148.03","2159.60"
"2021-05-20","2195.76","2161.23","2195.12"
"2021-05-21","2215.55","2195.17","2208.59"
"2021-05-24","2211.57","2200.28","2205.45"
"2021-05-25","2220.08","2205.90","2205.90"
"2021-05-26","2212.95","2188.87","2194.50"
"2021-05-27","2204.44","2188.67","2195.53"
"2021-05-28","2218.90","2196.48","2211.10"
"2021-05-31","2213.82","2195.56","2195.57"
"2021-06-01","2229.77","2205.20","2215.98"
"2021-06-02","2230.42","2212.56","2216.85"
"2021-06-03","2223.71","2199.82","2222.40"
"2021-06-04","2234.99","2217.74","2231.85"
"2021-06-07","2240.90","2226.74","2234.92"
"2021-06-08","2246.88","2224.80","2237.96"
"2021-06-09","2244.91","2234.17","2243.74"
"2021-06-10","2248.95","2230.79","2245.07"
"2021-06-11","2260.38","2248.50","2252.65"
"2021-06-14","2270.39","2253.47","2260.89"
"2021-06-15","2276.90","2256.65","2260.46"
"2021-06-16","2271.61","2258.21","2266.42"
"2021-06-17","2253.34","2233.50","2248.13"
"2021-06-18","2260.61","2220.17","2221.28"
"2021-06-21","2241.27","2204.11","2240.57"
"2021-06-22","2249.56","2231.71","2247.36"
"2021-06-23","2255.34","2225.54","2225.54"
"2021-06-24","2254.53","2228.71","2253.18"
"2021-06-25","2253.76","2247.52","2250.10"
"2021-06-28","2261.59","2250.00","2250.00"
"2021-06-29","2273.33","2247.59","2267.47"
"2021-06-30","2277.09","2245.44","2253.49"
"2021-07-01","2277.71","2253.31","2271.60"
"2021-07-02","2288.32","2274.07","2280.79"
"2021-07-05","2288.46","2269.37","2287.61"
"2021-07-06","2306.78","2286.04","2288.85"
"2021-07-07","2317.48","2298.47","2315.35"
"2021-07-08","2312.54","2282.15","2291.20"
"2021-07-09","2309.47","2289.93","2307.95"
"2021-07-12","2328.90","2302.21","2328.88"
"2021-07-13","2340.95","2323.79","2337.04"
"2021-07-14","2339.53","2323.20","2338.68"
"2021-07-15","2340.30","2313.91","2318.07"
"2021-07-16","2323.54","2300.03","2307.16"
"2021-07-19","2301.29","2261.99","2269.45"
"2021-07-20","2292.35","2261.78","2282.30"
"2021-07-21","2316.28","2294.24","2314.74"
"2021-07-22","2336.42","2314.90","2335.80"
"2021-07-23","2353.30","2333.99","2353.30"
"2021-07-26","2357.12","2347.26","2352.71"
"2021-07-27","2349.25","2328.57","2335.94"
"2021-07-28","2350.93","2334.36","2349.74"
"2021-07-29","2365.63","2350.66","2353.36"
"2021-07-30","2354.88","2329.03","2347.67"
"2021-08-02","2366.52","2345.62","2356.76"
"2021-08-03","2363.92","2350.63","2358.05"
"2021-08-04","2393.25","2365.08","2391.73"
"2021-08-05","2411.84","2398.07","2409.30"
"2021-08-06","2405.29","2387.81","2389.61"
"2021-08-09","2399.55","2383.27","2397.51"
"2021-08-10","2409.59","2398.39","2400.95"
"2021-08-11","2408.14","2394.70","2405.73"
"2021-08-12","2411.28","2402.06","2410.67"
"2021-08-13","2422.40","2411.02","2420.33"
"2021-08-16","2415.35","2397.82","2403.21"
"2021-08-17","2420.42","2395.63","2417.45"
"2021-08-18","2426.92","2412.89","2422.16"
"2021-08-19","2402.21","2370.73","2387.54"
"2021-08-20","2411.02","2376.84","2409.09"
"2021-08-23","2425.94","2408.08","2425.89"
"2021-08-24","2432.60","2412.85","2417.26"
"2021-08-25","2420.00","2407.81","2413.23"
"2021-08-26","2417.14","2403.40","2412.57"
"2021-08-27","2415.16","2402.98","2412.68"
"2021-08-30","2420.52","2406.80","2419.33"
"2021-08-31","2428.50","2388.28","2388.28"
"2021-09-01","2412.77","2393.25","2400.80"
"2021-09-02","2425.39","2402.31","2424.35"
"2021-09-03","2428.22","2404.08","2411.98"
"2021-09-06","2435.06","2420.48","2432.64"
"2021-09-07","2434.92","2417.22","2424.64"
"2021-09-08","2414.27","2389.32","2392.05"
"2021-09-09","2398.99","2373.36","2389.96"
"2021-09-10","2393.97","2376.21","2377.52"
"2021-09-13","2390.28","2376.37","2378.13"
"2021-09-14","2384.77","2370.37","2379.46"
"2021-09-15","2386.32","2361.76","2365.80"
"2021-09-16","2388.34","2363.62","2379.72"
"2021-09-17","2397.35","2352.03","2352.50"
"2021-09-20","2330.45","2291.10","2310.51"
"2021-09-21","2341.90","2313.77","2335.32"
"2021-09-22","2359.20","2341.88","2354.29"
"2021-09-23","2396.09","2373.19","2388.89"
"2021-09-24","2384.33","2351.27","2358.27"
"2021-09-27","2375.11","2334.68","2337.56"
"2021-09-28","2331.63","2276.26","2276.26"
"2021-09-29","2311.70","2288.42","2288.42"
"2021-09-30","2316.19","2287.25","2296.62"
"2021-10-01","2290.19","2256.48","2279.30"
"2021-10-04","2287.02","2262.62","2263.76"
"2021-10-05","2286.67","2258.17","2286.64"
"2021-10-06","2275.47","2238.37","2264.38"
"2021-10-07","2303.20","2279.14","2299.97"
"2021-10-08","2306.64","2286.68","2289.65"
"2021-10-11","2286.02","2263.71","2283.75"
"2021-10-12","2300.05","2260.30","2291.39"
"2021-10-13","2332.17","2283.42","2329.68"
"2021-10-14","2352.40","2335.91","2345.59"
"2021-10-15","2369.88","2348.37","2369.88"
"2021-10-18","2373.02","2354.26","2365.28"
"2021-10-19","2386.39","2364.28","2384.83"
"2021-10-20","2391.51","2374.48","2391.34"
"2021-10-21","2393.83","2375.90","2392.17"
"2021-10-22","2424.55","2388.78","2420.60"
"2021-10-25","2423.76","2398.65","2409.25"
"2021-10-26","2420.73","2402.34","2418.72"
"2021-10-27","2421.16","2395.89","2402.89"
